"Lon_ID","Lon"
1,0.0
2,2.0
3,4.0
4,6.0
5,8.0
6,10.0
7,12.0
8,14.0
9,16.0
10,18.0
11,20.0
12,22.0
13,24.0
14,26.0
15,28.0
16,30.0
17,32.0
18,34.0
19,36.0
20,38.0
21,40.0
22,42.0
23,44.0
24,46.0
25,48.0
26,50.0
27,52.0
28,54.0
29,56.0
30,58.0
31,60.0
32,62.0
33,64.0
34,66.0
35,68.0
36,70.0
37,72.0
38,74.0
39,76.0
40,78.0
41,80.0
42,82.0
43,84.0
44,86.0
45,88.0
46,90.0
47,92.0
48,94.0
49,96.0
50,98.0
51,100.0
52,102.0
53,104.0
54,106.0
55,108.0
56,110.0
57,112.0
58,114.0
59,116.0
60,118.0
61,120.0
62,122.0
63,124.0
64,126.0
65,128.0
66,130.0
67,132.0
68,134.0
69,136.0
70,138.0
71,140.0
72,142.0
73,144.0
74,146.0
75,148.0
76,150.0
77,152.0
78,154.0
79,156.0
80,158.0
81,160.0
82,162.0
83,164.0
84,166.0
85,168.0
86,170.0
87,172.0
88,174.0
89,176.0
90,178.0
91,180.0
92,-178.0
93,-176.0
94,-174.0
95,-172.0
96,-170.0
97,-168.0
98,-166.0
99,-164.0
100,-162.0
101,-160.0
102,-158.0
103,-156.0
104,-154.0
105,-152.0
106,-150.0
107,-148.0
108,-146.0
109,-144.0
110,-142.0
111,-140.0
112,-138.0
113,-136.0
114,-134.0
115,-132.0
116,-130.0
117,-128.0
118,-126.0
119,-124.0
120,-122.0
121,-120.0
122,-118.0
123,-116.0
124,-114.0
125,-112.0
126,-110.0
127,-108.0
128,-106.0
129,-104.0
130,-102.0
131,-100.0
132,-98.0
133,-96.0
134,-94.0
135,-92.0
136,-90.0
137,-88.0
138,-86.0
139,-84.0
140,-82.0
141,-80.0
142,-78.0
143,-76.0
144,-74.0
145,-72.0
146,-70.0
147,-68.0
148,-66.0
149,-64.0
150,-62.0
151,-60.0
152,-58.0
153,-56.0
154,-54.0
155,-52.0
156,-50.0
157,-48.0
158,-46.0
159,-44.0
160,-42.0
161,-40.0
162,-38.0
163,-36.0
164,-34.0
165,-32.0
166,-30.0
167,-28.0
168,-26.0
169,-24.0
170,-22.0
171,-20.0
172,-18.0
173,-16.0
174,-14.0
175,-12.0
176,-10.0
177,-8.0
178,-6.0
179,-4.0
180,-2.0
